,timestamp,tweet_text,Location
61,2019-02-27 23:37:35+00:00,i have a personal bias with jbp i started listening to his lectures (and jocko willink) around the time i decided to go back to school. i think i subconsciously credit them to some degree. then again im going into a profession with high rates of depression and substance abuse..,"Illinois, USA"
62,2019-02-27 23:37:13+00:00,unpopular opinion: i hate weighed blankets. they dont help with my anxiety &ampepression. they make me feel like im being smothered to death by my anxiety &ampepression,New York
63,2019-02-27 23:37:12+00:00,"my mood swings are weird as hell, man. like, a minute ago, i was complete garbage. depression kicked in full force and my head was killing me. now, i got my headphones in and i'm dancing in my desk chair to dancing queen. like...what the hell, head? pick one","Illinois, USA"
64,2019-02-27 23:37:02+00:00,are we in retrograde? cause i need to know what im suppose to tell my depression. this up and down every other day is killing me. at least give me week straight if either one,"Frankfort, KY"
65,2019-02-27 23:36:40+00:00,"cnbc ""this trend is a reversal of what was seen during and after the great depression, where the gap between rich and poor narrowed."" branding attempts to protect middle class as ""socialism"" is a disservice to americans across racial/economic divide. will get vicious in","..................Texas, USA.."
66,2019-02-27 23:36:28+00:00,jealous of taking depression naps? lol n,"Riverside, CA"
67,2019-02-27 23:35:33+00:00,as someone with gad and depression i'm sorry you deal with this shit too...but thanks for sharing your thoughts and feelings-it's good to know we're not alone,The Mid-South via Brooklyn NY
68,2019-02-27 23:35:00+00:00,"are there any online therapists for treating anxiety? yes. online therapy is becoming quite popular, especially when using skype. get help from an online therapist for anxiety and depression. contact me via email if you would like to talk to a therapist","Boulder CO, USA"
69,2019-02-27 23:34:51+00:00,"fdr turned a year recession into a depression that lasted over years. remember, fdr had stated he never met a socialist he didn't like. also, there were business men who were against the new deal with solid reasons for doing so. fdr didn't pay attention","Las Vegas, NV"
70,2019-02-27 23:32:56+00:00,hey sorry i didnt text back i was wallowing in my depressio,"Los Angeles, CA"
71,2019-02-27 23:32:23+00:00,"yall remember when mac miller dropped his album same day as astroworld and yall said yall hear something? yeah, you probably influenced his depression now hes dead and you wanna say rip mac miller yall are just a mirror of what your mind is fed, its sa","Miami, FL"
72,2019-02-27 23:32:20+00:00,depression sucks...i feel weirdly numb,"Oklahoma, USA"
73,2019-02-27 23:32:08+00:00,this stress and depression really made me a fatass bitch,WNY
74,2019-02-27 23:31:49+00:00,"in the early i watched a willie nelson interview. they asked about the current recession at the time and his response was, ""if it wasnfor drug dealers it would be another depression""","North Carolina, USA"
75,2019-02-27 23:31:32+00:00,fdr is what made the great depression great. bc of him it went on many years longer than it should have so pardon me if i dont think a quote by him is illuminating at all,"Houston, TX"
76,2019-02-27 23:31:09+00:00,"genuine question, bc i experience it myself. do you think people prone to depression have more of a tendency to seek depressing topics (climate change), or does reality just come with bouts of depression? or do we always look for the worst case scenarios? always","Fort Lauderdale, FL"
77,2019-02-27 23:30:59+00:00,"went to the doctor today for a physical and i took a survey to determine whether or not i was depressed (i had already told her i had depression). she looked at it and then looked at me and basically just went, areare you okay? and i just went","Greenville, SC"
78,2019-02-27 23:30:43+00:00,anxiety and depression you can fuck off rn,"Texas, USA"
79,2019-02-27 23:30:17+00:00,aaaand following up the depression session with some family bullshit and i am dreading i,"Atlanta, GA"
80,2019-02-27 23:30:15+00:00,online mindfulness-based cognitive behavioral therapy via skype for recovery from anxiety and depression. email me to get started. go to:,"Boulder CO, USA"
81,2019-02-27 23:30:00+00:00,"from : ""after the collapse, the worst since the great depression, the rich, rather than having the modesty to temper their demands, this time have made the calculated bet that they are politically invulnerable."" how different is it now?","Washington, DC"
82,2019-02-27 23:29:48+00:00,"tbi - traumatic brain injury - tbi linked to higher risk of ptsd, depression","California, USA"
83,2019-02-27 23:29:16+00:00,depression is rea,"Philadelphia, PA"
84,2019-02-27 23:29:03+00:00,i literally go back and watch this once an hour. it helps my depressio,"Washington, DC"
85,2019-02-27 23:28:42+00:00,i never had instant depression till that da,"Houston, TX"
86,2019-02-27 23:28:09+00:00,depression is kicking my as,"Illinois, USA"
87,2019-02-27 23:27:54+00:00,half a can of pineapple is an acceptable depression dinner right,"Michigan, USA"
88,2019-02-27 23:27:22+00:00,when that depression suddenly hits you,"New Jersey, USA"
89,2019-02-27 23:27:20+00:00,depression pills are worse than met,"Colorado, USA"
90,2019-02-27 23:26:54+00:00,got home from work and the sun is still up!! winter depression be gon,"Chicago, IL"
91,2019-02-27 23:26:38+00:00,x england footballer stan collymore struggling with depression. its a disease that consumes you. if you know anyone who is struggling reach out helping han,UK/USA
92,2019-02-27 23:25:24+00:00,this depression b real lo,"Las Vegas, NV"
93,2019-02-27 23:25:04+00:00,more than one out of ten pregnant women suffer from depression.,"Salt Lake City, UT"
94,2019-02-27 23:25:00+00:00,talk to an online therapist to overcome anxiety &amp; depression. see:,"Boulder CO, USA"
95,2019-02-27 23:24:47+00:00,is the woman that talks directly to camera telling me about bipolar medication on hulu trying to convince me i have bipolar depression? i cant think of any other reason for a medication commercial to play times in one hour stretch,"Chicago, IL"
96,2019-02-27 23:23:51+00:00,you not from alaska if you dont got depression do,"Anchorage, AK"
97,2019-02-27 23:22:36+00:00,weaponizing my depression.,"Los Angeles, CA (She/Her)"
98,2019-02-27 23:22:33+00:00,okay depression time over yay,DON'T STEAL OR REPOST MY SHIT
99,2019-02-27 23:22:32+00:00,i deadass got depression with the last seasons,"Anchorage, AK"
100,2019-02-27 23:22:19+00:00,depression comes with fear &amp; desires... i keep low expectations &amp; desires from others even with the closest ones &amp; never fear of any problem or obstacle comes in life because thats d true meaning of life,BHARAT➰USA
101,2019-02-27 23:22:14+00:00,"as students struggle with and , colleges act as counselors","Berkeley, CA"
102,2019-02-27 23:22:05+00:00,not gunna let depression do me ini got speckled buff in my hair and bowl dowl lets get this bread,"Cypress, CA"
103,2019-02-27 23:22:00+00:00,there different types of : unipolar &amp; . both share similar symptoms,California
104,2019-02-27 23:21:34+00:00,so do i get up from my depression and do hw or get up and go break my die,"Florida, USA"
105,2019-02-27 23:21:22+00:00,im stuck in the deepest depression and idk how to get ou,"Ewa Beach, HI"
106,2019-02-27 23:21:21+00:00,does depression ever stop ruining your god damn lifeeee orrr,"Orange, CA"
107,2019-02-27 23:20:02+00:00,anxiety and depression waning a bit today..., far Southwestern Virginia
108,2019-02-27 23:19:51+00:00,i miss where the socialism is there? high tax rate worked because of the absurd amount of industry and commerce to rebuild europe and revitalize post depression. surprised you didnt scandinavi,"New Hampshire, USA"
109,2019-02-27 23:19:45+00:00,"depression can occur with it, but it operates on serotonin shortage, not the other two chemicals, so each condition needs addressed","Lawrence, Kansas, USA"
110,2019-02-27 23:19:42+00:00,"i hate when people doubt that chronic mental illness is a thing. idiagnosed with anxiety disorder and depression. i take meds that ""helps"" both. episodes from emotionally distressing events have made me not be able to keep food down. mental illness is serious","Emeryville, CA"
111,2019-02-27 23:19:26+00:00,"not in a joking im working way too hard, sort of way. i honestly did not see how i could go on living. ive struggled with depression my whole life, but never this intense. usually i work out, take a day off, and i'm ok... not great, but ok",Utah
112,2019-02-27 23:18:57+00:00,"one more thing: adhd was often misdiagnosed as depression before they realized it continues into adulthood. however, adhd often has aspects of autism, ocd or comorbidity of those conditions as they operate similarly in the brain (norepinephrine and dopamine shortage)","Lawrence, Kansas, USA"
113,2019-02-27 23:18:48+00:00,when you're trying to leave las vegas but end up on the scent of a woman.* *this dated media joke was brought to by depression! that's depression: meh,"Aurora, CO"
114,2019-02-27 23:18:47+00:00,"i struggle with depression, anxiety and wanting to do everything, save the world, save the children, make music... and at the same time feeling like i cant move a muscle. i have one friend, a gang of family, and still feel like i cant talk to no one ...","Lancaster, CA"
115,2019-02-27 23:18:07+00:00,"almost years ago i also got a little kitten to help me cope with depression, and now he is a great big cat that still manages to keep me alive. kitties are everything","North Carolina, USA"
116,2019-02-27 23:17:57+00:00,adulting mindset sitting outside in the sun.. young me = wants to tan &amp; be ~hawt~ adult me = wants to get vitamin d to help beat seasonal depression going to the gym... young me = wants to be fit &amp; ~hawt~ adult me = wants to let out some rage &amp; cry a little les,"Baltimore, MD"
117,2019-02-27 23:17:07+00:00,medicated the . talking passing. the comedy community needs to join together and start something to help our own who struggle with . whos with me?,"New Rochelle, NY"
118,2019-02-27 23:17:04+00:00,we need to be doing a better job in dealing with mental illness instead of criminalizing those who suffer from it.,"San Fernando Valley, CA"
119,2019-02-27 23:17:02+00:00,wear my hat for night make prayers positive messages to my friend who has been such incredible inspiration with songs that help my struggle depression anxiety for year now,Ohio
120,2019-02-27 23:16:56+00:00,i felt this minus the depression,"Louisville, KY"
121,2019-02-27 23:15:57+00:00,depression ever juss hit yall out the cut w no warning,"Southeast, Washington DC"
122,2019-02-27 23:15:45+00:00,i don't think i've laughed this hard in a long time big shout out to and for helping me a bit through this depression &lt;3,"California, USA"
123,2019-02-27 23:15:10+00:00,"""depression"" seems like everyone uses this word often to the point where itlike the common cold, everyone seems to have it so no one really cares. one of my biggest gripes with this is","Pomona, CA"
124,2019-02-27 23:15:07+00:00,women who work long hours may face more depression,"Kendall, FL"
125,2019-02-27 23:14:42+00:00,"great time presenting to the local rotary club about turning weaknesses into strengths, running towards (not away from) your fears and embracing the struggle that is life. spoken word performances gave raw &amp; transparent insight into the world of autism, ocd, anxiety &amp; depression.","Los Angeles, CA"
126,2019-02-27 23:14:33+00:00,"i go through depression at times. you lift me up, not only your vocals, but also your kind spirit. please keep making music","Lawrenceville, GA"
127,2019-02-27 23:14:31+00:00,"this. talking about the lgbt wont make your kid gay. but it might save your kid, who is already gay and closeted, from years of depression and potential suicide attempts.","Evanston, IL"
128,2019-02-27 23:14:24+00:00,depression beard??,Arizona
129,2019-02-27 23:13:54+00:00,fuck this shitty wave of depression,NC
130,2019-02-27 23:13:45+00:00,this is freya she is a cure for she is a she is our for a few weeks. she is my son's life. we support anything that helps with you should too!!,"Puyallup, WA -- Canada"
131,2019-02-27 23:12:29+00:00,"how to change your mind: what the new science of psychedelics teaches us about consciousness, dying, addiction, depression, and transcendence. michael pollan",California
132,2019-02-27 23:12:18+00:00,what do u do when ur own fam doesn't believe u suffer from addiction n depression? that u live with of ur stressors but have no other choice? that's why i escape wrestling. that's y i get so involved in stories that,"Philadelphia, PA"
133,2019-02-27 23:11:56+00:00,anxiety and depression arent a joke and if you think you know what its like but you still think trying isnt enough then you clearly dont. bc i failed a semester of classes bc i could not make myself leave my bed to even eat most days. id wake up early enough. just couldnt do i,"Chattanooga, TN"
134,2019-02-27 23:11:41+00:00,dragging myself out of depression to bathe.,"Redding, CA"
135,2019-02-27 23:11:38+00:00,"no as my southern depression era family members would say, ""boy, you look like a zip damn fool""",Portland Oregon.
136,2019-02-27 23:11:30+00:00,"my anxiety, depression, and self-esteem issues working together to gang up on amd destroy me","newark, NJ"
137,2019-02-27 23:10:12+00:00,do any of these describe your recent experience? you may be suffering from depression. early treatment and prevention is key!,"Los Angeles, CA"
138,2019-02-27 23:10:10+00:00,miss carly rae took my depression away,"Brooklyn, NY"
139,2019-02-27 23:10:09+00:00,i know: more evidence about benefits of exercise. this is very convincing: help with depression! even a short walk can put you on the path to better mental health. i am certain this has been a key to maintaining better mental balance for me. more here.,"Orange County, CA"
140,2019-02-27 23:10:02+00:00,are there any sites that offer therapy over skype?. i offer online therapy over skype for treating anxiety and depression. see:,"Boulder CO, USA"
141,2019-02-27 23:09:07+00:00,"i was ashamed for a week i cried turned me into another person, because i let someone else put me into a position that could of landed me in i fought a person that didn't fight back she was all talk and know work, it's sad to fight a person not fighting bac","Ohio, USA"
142,2019-02-27 23:09:05+00:00,"you no doubt already know this, but therea reported link between depression and high neanderthal dna. our poor ancestors. modern humans were like ""yeah, gonna get that mammoth!"" while their neander spouses were more ""not leaving the cave today!","San Antonio, TX"
143,2019-02-27 23:07:24+00:00,"and that's a terrible thing. i think that's something with which a lot of people struggle. i'm not concerned that these types of memes/videos will cause depression in my kids, but kids emulate what they see all the time, and that scares the hell out of me",US
144,2019-02-27 23:06:45+00:00,maybe a melancholic depression. ive felt that the last few days honestly,"Austin, TX"
145,2019-02-27 23:06:29+00:00,"i am so very much looking forward to our yearly return to the south. we are getting heavy snowfall at home currently and my seasonal depression is setting in. i am dreaming of sunshine,","Madras, OR"
146,2019-02-27 23:06:08+00:00,time for a good old depression session i gues,"Atlanta, GA"
147,2019-02-27 23:06:07+00:00,"its almost been a week since 's concert and my post concert depression is still going strong! missin' my fellow georgeian lots! woodstock, georgia","Georgia, USA"
148,2019-02-27 23:05:53+00:00,"that is right, you never know what someone might do, because of depression.","Las Vegas, NV"
149,2019-02-27 23:05:12+00:00,i feel that depression kicking in. like i just want to close off and be alon,"Santa Cruz, CA"
150,2019-02-27 23:04:39+00:00,knoxville cured my depressio,"Richmond, VA"
151,2019-02-27 23:04:19+00:00,when your chronic illness triggers,"Michigan, USA"
152,2019-02-27 23:04:16+00:00,and fyi depression usually has friends,"Louisiana, USA"
153,2019-02-27 23:04:11+00:00,the treat yoself mentality has been encouraged far too much in my life and now my automatic response to depression is putting myself into debt to get a stromboli delivere,"Philadelphia, PA"
154,2019-02-27 23:03:51+00:00,"no one realizes how strong someone with depression has to be just to do daily stuff like shower, brush hair or get out of bed..","Jacksonville Beach, FL"
155,2019-02-27 23:03:36+00:00,"joseph morgan has an idea about why the company would be so reticent. wherever [cannabis] is legal, theres a decrease in pharmaceutical productspeople would rather treat their depression with cannabis than prozac."" story:",New York City
156,2019-02-27 23:03:29+00:00,"join bbrf young investigator grantee, on feb. on to learn about memory, , , and .","New York, NY"
157,2019-02-27 23:03:03+00:00,"depression/anxiety blob is my brand, baby","Seattle, WA"
158,2019-02-27 23:03:03+00:00,i never knew how bad my was until i found out i have another person inside me. when i get i black out and don't remember anything that bitch is called crucial aka crucial. i popped off on a person for calling me nd i don't hve fake bone n my body.,"Ohio, USA"
159,2019-02-27 23:02:53+00:00,"the one advantage of having severe depression is every time im going through a depressive episode, i come up with some sick ass art ideas","Portland, OR"
160,2019-02-27 23:02:52+00:00,depression is real and money dont do shit to help smh,614 MADE 614 RAISED 
161,2019-02-27 23:02:34+00:00,new dropping on friday. here to stay. . .,"San Francisco, CA"
162,2019-02-27 23:02:33+00:00,"the way you felt is so normal. youre not horrible for being afraid. the fact that you kept her and tried is so important. its so common for pregnant women to be depressed as hell, a lot of them get into the worst depression theyve ever had. youre not a bad person at al","Chattanooga, TN"
163,2019-02-27 23:02:06+00:00,"""taking my depression minute by minute helped me stop downward spiraling""-","Fredericksburg, VA"
164,2019-02-27 23:01:53+00:00,"nearly a year ago, i held hearings on residential youth treatment facilities and heard horrible stories of abuse, solitary confinement, depression and lack of education from young people. i promised them we would do better. /","Philadelphia, PA"
165,2019-02-27 23:01:50+00:00,how to treat depression in prison and why it matters,"New York, USA"
166,2019-02-27 23:00:57+00:00,"depression is a mutha,going through depression alot startrunning through your mind to wereyou dont know what to do.theresppl that would say they would helpor go you and turn around and stab u in the back meaning they dont,to sit there and smile up in somebody face is hypocritica","Brooklyn, NY"
167,2019-02-27 23:00:45+00:00,sugar is no exception. research suggests that sugar consumption may increase your risk for depression.,"Colorado, USA"
168,2019-02-27 23:00:38+00:00,"amazing insights by the on depression! we, too, believe primary care must be the frontline for people with mild to moderate depression. those primary care providers are going to need help, and that's why we made a smartexam module that addresses behavioral health.","Portland, OR"
169,2019-02-27 23:00:24+00:00,eats depression era cand,"Naples, FL"
170,2019-02-27 23:00:24+00:00,everything can go right in the course of a day then one little tiny thing goes wrong then another and another... then it feels like you are paddling upstream with a broken oar and it's all you can do to just stay afloat. i'm outta spoons today. i hate depression..,"Charlotte, NC"
171,2019-02-27 23:00:23+00:00,"insomnia tied to depression, cardiovascular disease | science | aaas","Boston, MA"
172,2019-02-27 23:00:06+00:00,"years after prozac arrived, we still buy the lie that chemical imbalances cause depression","San Rafael, CA"
173,2019-02-27 23:00:04+00:00,the pill and other synthetic hormones have some nasty side effects (including depression). so what can you do?,"Overland Park, KS"
174,2019-02-27 23:00:00+00:00,"working long hours causes depression in women, but not men, study suggests:","New York, NY"
175,2019-02-27 22:59:43+00:00,my depression feels unstable,"San Francisco, CA"
176,2019-02-27 22:59:40+00:00,this depression is really getting on my nerve,"Nashville, TN"
177,2019-02-27 22:59:26+00:00,"ok i am captivated on the - this bit about depression and pain being a motivator i love. the first thing he said about how to help someone with depression - ""i am slow to medication"" amen!","Phoenix, AZ"
178,2019-02-27 22:58:51+00:00,my depression needs to give me a break.:,"San Diego, CA"
179,2019-02-27 22:58:24+00:00,you know what sucks? depression that whispers that you aren't good enough. anxiety that screams in your ear to give up because you aren't worthy. doubt that makes you believe their words. and despair that robs you of the hope that it will ever change... struggles every day,"Charlotte, NC"
180,2019-02-27 22:57:45+00:00,"yoga for depression now you know if you are not yet on minds, please join here:","fabulous Las Vegas, NV"
181,2019-02-27 22:56:49+00:00,"the large majority of american teenagers (70%!) say that anxiety and depression are major problems among their friends, via","Miami Lakes, FL"
182,2019-02-27 22:56:33+00:00,praying for you. that you would sense just how near god is to you. depression is so awful. ((hugs),"Alpharetta, Georgia "
183,2019-02-27 22:56:14+00:00,i prevail live through depression in 'breaking down' video,"New York, NY"
184,2019-02-27 22:55:07+00:00,tryna give up my depression for len,"South Carolina, USA"
185,2019-02-27 22:54:50+00:00,my name is wil wheaton. i live with chronic depression and generalized anxiety. i am not ashamed.,"Burbank, CA"
186,2019-02-27 22:54:44+00:00,"wow my depression is so real today, how is it so powerful?! im almost impresse","South Carolina, USA"
187,2019-02-27 22:54:40+00:00,"i know exactly what you mean. i have depression and anxiety + really bad insomnia (which at least i have meds for), and being tired makes everything feel so much bigger","Atlanta, GA"
188,2019-02-27 22:54:15+00:00,if she remembers the great depression shes too old for you bro,"Somewhere, CA"
189,2019-02-27 22:54:08+00:00,"last year i pushed myself and ended up in bed for nearly two months, not good when you suffer from depression as well, easy to slip..","Canberra, ACT"
190,2019-02-27 22:53:16+00:00,depression is the electric bill you get at the end of the month,"Indiana, USA"
191,2019-02-27 22:53:05+00:00,okay here it comes because i literally just cant let the person i love get shitted on. but here it is. the person i love suffer through depression just like any other person would. so you guys saying stfu about and saying that its negativity. thats how you see it or want t,"Odessa, Texas"
192,2019-02-27 22:53:00+00:00,we need disabled doctors but the system wont allow for it. i would rather trust a doctor who has experience w chronic anxiety/ depression &gt; a doctor who has never had any mental illness issue. but where they at?? the system strigmatizes disabilities and creates so many barriers,"California, USA"
193,2019-02-27 22:52:50+00:00,do you suffer from fatigue? insomnia? weight gain? brain fog? depression? anxiety? you may be having a hormone imbalance. we can help. learn more about the biote treatment for both men and women. get back to living the way you deserve to.,"Arkansas, USA"
194,2019-02-27 22:52:24+00:00,"some symptoms of corn allergy from corn allergy group members (over k): anaphylaxis, nausea, vomiting, hives, acne, migraines, cardiac arrhythmia, acute abdominal swelling/pain, bloody stools, mucus in stools, depression (sense of impending doom), etc",Texas
195,2019-02-27 22:52:01+00:00,hair: cut power: restored depression: still here but slightly less,"New York, USA"
196,2019-02-27 22:51:09+00:00,okay cuz drake did not have to send me into depression like that,"Meriden, CT"
198,2019-02-27 22:50:38+00:00,"working long hours causes depression in women, but not men, study suggests","Charlotte, NC"
199,2019-02-27 22:50:19+00:00,quelle surprise! cest la dpression,North Carolina
